z   xFWHM    yFWHM    nx ny xStart        yStart       
0.3 0.002501 0.004361 64 78 -0.0063446154 -0.0071739130
0.6 0.002311 0.004017 64 72 -0.0063446154 -0.0066149068
0.9 0.002130 0.003674 64 66 -0.0064772370 -0.0060559006
1.2 0.001964 0.003334 90 60 -0.0063736264 -0.0054968944
1.5 0.001807 0.002996 96 54 -0.0063446154 -0.0049378882
1.8 0.001667 0.002661 96 48 -0.0063446154 -0.0043788820
2.1 0.001546 0.002335 64 44 -0.0066153846 -0.0040062112
2.4 0.001457 0.002021 78 42 -0.0064461538 -0.0038198758
2.7 0.001399 0.001724 78 42 -0.0064461538 -0.0038198758
3.0 0.001378 0.001444 78 54 -0.0064461538 -0.0038252508
3.3 0.001399 0.001197 78 78 -0.0064461538 -0.0038310559
3.6 0.001457 0.001011 78 84 -0.0064461538 -0.0038687888
3.9 0.001545 0.000922 56 54 -0.0063076923 -0.0038252508
4.2 0.001662 0.000959 56 54 -0.0063076923 -0.0038252508
4.5 0.001804 0.001112 56 54 -0.0063076923 -0.0038252508
4.8 0.001965 0.001340 42 42 -0.0063076923 -0.0038198758
5.1 0.002131 0.001604 42 42 -0.0063076923 -0.0038198758
5.4 0.002316 0.001899 42 42 -0.0063076923 -0.0038198758
5.7 0.002500 0.002206 42 42 -0.0063076923 -0.0038198758
6.0 0.002689 0.002531 42 48 -0.0063076923 -0.0043788820
